Country,ShortName,Continent,Latitude,Longitude,SumVisits2011Q1,SumVisits2011Q2,SumVisits2011Q3,SumVisits2011Q4,SumVisits2012Q1,SumVisits2012Q2,SumVisits2012Q3,SumVisits2012Q4,SumVisits2013Q1,SumVisits2013Q2,SumVisits2013Q3,SumVisits2013Q4,SumVisits2014Q1,SumVisits2014Q2,SumVisits2014Q3,SumVisits2014Q4,SumVisits2015Q1,SumVisits2015Q2,SumVisits2015Q3,SumVisits2015Q4,SumVisits2016Q1,SumVisits2016Q2,SumVisits2016Q3,SumVisits2016Q4,SumVisits2017Q1,SumVisits2017Q2,SumVisits2017Q3,SumVisits2017Q4,SumVisits2018Q1,SumVisits2018Q2,SumVisits2018Q3,SumSpend2011Q1,SumSpend2011Q2,SumSpend2011Q3,SumSpend2011Q4,SumSpend2012Q1,SumSpend2012Q2,SumSpend2012Q3,SumSpend2012Q4,SumSpend2013Q1,SumSpend2013Q2,SumSpend2013Q3,SumSpend2013Q4,SumSpend2014Q1,SumSpend2014Q2,SumSpend2014Q3,SumSpend2014Q4,SumSpend2015Q1,SumSpend2015Q2,SumSpend2015Q3,SumSpend2015Q4,SumSpend2016Q1,SumSpend2016Q2,SumSpend2016Q3,SumSpend2016Q4,SumSpend2017Q1,SumSpend2017Q2,SumSpend2017Q3,SumSpend2017Q4,SumSpend2018Q1,SumSpend2018Q2,SumSpend2018Q3
Czech Republic,CZ,EU,49.817492,15.472962,19.298,18.332,26.941,19.147,27.250,18.075,26.116,32.222,17.477,26.546,25.443,20.935,21.069,24.589,24.486,26.597,19.481,36.868,24.090,37.441,26.851,25.657,32.816,43.385,17.905,33.802,46.040,28.213,29.188,60.444,17.739,6.581,8.434,9.315,12.513,11.836,5.961,11.999,10.424,8.275,10.790,12.539,8.789,8.788,9.148,11.170,11.360,5.727,16.694,14.304,11.565,6.802,9.633,29.733,18.439,4.667,14.549,15.825,15.329,10.424,26.565,3.670
Denmark,DK,EU,56.26392,9.501785,72.783,73.414,82.225,84.724,71.192,71.598,70.491,72.792,78.065,89.032,88.610,95.865,80.703,74.435,73.360,99.226,67.636,108.534,115.626,120.177,101.385,104.770,99.513,105.244,140.842,77.985,70.193,111.650,81.248,126.114,95.895,34.687,35.084,35.223,44.605,37.128,33.273,51.974,34.935,34.055,55.730,39.185,55.533,36.505,41.996,37.128,43.060,30.712,48.664,61.579,49.514,60.017,52.406,44.813,59.703,61.218,37.263,49.822,66.520,48.042,59.364,45.667
Egypt,EG,AF,26.820553,30.802498,7.560,4.954,8.723,8.635,11.091,6.300,8.911,8.743,9.766,6.509,9.885,11.991,8.072,9.916,9.970,8.184,6.429,8.049,11.876,10.334,7.090,8.013,7.517,8.361,7.565,4.417,11.090,6.351,4.865,7.858,5.726,12.427,8.670,14.400,10.979,14.266,6.417,7.975,17.237,13.077,14.098,18.116,13.635,46.449,22.291,11.735,32.044,7.118,21.646,16.659,16.290,12.859,8.178,14.015,41.654,30.390,5.419,18.560,10.167,5.323,8.994,8.802
Finland,FI,EU,61.92411,25.7481511,20.122,41.558,29.663,32.447,19.999,38.903,36.662,32.431,26.805,29.783,41.667,32.753,19.812,41.389,43.150,50.509,34.585,46.052,42.783,35.009,27.590,44.889,50.907,36.174,38.092,38.740,45.648,38.361,22.492,35.946,28.215,11.798,23.999,19.040,18.396,13.937,19.067,24.609,15.693,12.132,18.988,21.145,20.109,8.227,21.943,22.401,22.793,19.024,20.955,27.571,18.380,14.664,22.222,24.928,16.229,16.579,18.108,22.056,18.148,12.492,18.091,12.866
France,FR,EU,46.227638,2.213749,144.471,127.578,111.752,133.365,141.948,141.191,102.355,150.485,138.466,186.225,134.876,148.823,163.568,177.091,131.345,170.692,158.039,206.942,157.294,158.398,164.799,215.648,166.000,238.693,232.336,228.067,196.826,177.238,175.150,240.364,133.629,46.774,43.580,40.644,39.654,53.000,62.303,144.992,75.793,54.842,69.041,64.894,65.840,79.577,65.801,53.470,96.923,60.476,85.561,97.891,65.865,62.715,86.965,77.515,105.041,99.552,86.774,81.916,75.899,76.532,100.027,53.804
Germany,DE,EU,51.165691,10.451526,169.649,280.524,253.631,230.812,170.746,257.314,250.040,272.572,172.528,292.597,267.689,249.704,188.739,321.002,288.997,252.144,186.337,357.685,319.089,244.134,225.270,308.691,331.748,310.945,233.990,360.194,283.238,325.652,231.677,368.518,281.511,69.351,111.384,126.392,97.050,73.758,120.469,109.817,112.628,88.110,127.729,116.595,123.444,82.644,133.657,163.695,126.995,79.076,147.517,120.326,106.397,95.043,145.964,158.414,130.473,94.531,152.566,134.583,147.278,105.646,128.080,135.882
Greece,GR,EU,39.074208,21.824312,46.479,17.902,21.615,45.568,26.567,15.810,23.295,23.760,29.737,26.790,21.250,28.233,34.379,26.172,41.319,51.461,37.364,35.423,20.661,52.159,47.409,28.636,16.816,51.206,42.402,22.232,14.076,53.172,27.439,17.945,13.917,37.238,15.757,16.565,27.230,16.836,9.334,24.688,14.061,27.264,14.399,28.958,25.697,15.855,13.374,26.150,34.302,30.595,20.708,40.475,23.554,27.875,14.308,11.977,34.736,22.664,10.935,19.959,36.783,10.376,7.622,5.325
Hong Kong,HK,AS,22.3193039,114.1693611,16.688,21.788,32.072,18.528,14.946,22.884,28.828,20.038,12.585,23.856,36.920,19.127,20.424,22.450,39.827,16.224,17.587,27.212,43.643,33.470,13.497,31.865,57.603,26.349,35.318,39.683,41.571,27.242,21.877,29.463,42.222,19.258,19.196,43.268,15.683,20.991,17.300,28.562,18.867,12.968,39.527,54.374,24.724,28.551,31.901,54.691,17.749,19.107,32.204,51.353,49.500,16.044,37.772,53.491,33.762,35.506,56.848,61.545,27.609,19.266,35.584,45.532
Hungary,HU,EU,47.162494,19.5033041,21.741,14.276,20.854,11.927,23.926,14.943,16.996,28.487,13.196,19.062,18.163,21.846,18.838,22.391,23.382,22.985,22.716,31.979,16.424,11.752,15.984,24.056,21.297,35.973,33.737,21.953,40.354,35.086,20.909,36.171,68.477,10.198,3.998,21.538,10.626,6.502,5.094,12.538,13.487,3.380,4.517,18.095,7.816,6.303,8.533,5.886,6.160,7.990,8.676,4.774,3.197,9.641,10.197,7.412,11.871,14.414,6.858,18.729,14.375,12.662,8.589,22.643
Iceland,IS,EU,64.963051,-19.020835,5.059,2.415,2.876,12.880,9.066,6.466,3.758,6.108,4.479,6.928,6.454,11.096,5.684,9.965,2.660,10.189,4.716,5.271,6.432,9.644,10.947,5.357,5.714,15.155,26.451,17.019,7.168,17.380,4.938,9.498,19.378,1.303,1.156,2.836,8.869,3.672,3.831,3.415,4.029,2.652,2.243,3.347,4.339,1.795,4.529,1.332,5.235,2.009,4.604,2.765,6.855,7.164,2.913,2.795,12.470,18.142,15.785,7.596,11.888,2.605,8.336,11.696
